step,t,learning_rate,epoch,L_task_batch_t,L_reg_batch_t,L_full_batch_t,weights_norm_sq_t,grad_L_task_norm_sq_t,curvature_task_sq_t,lambda_measured_task_t,lambda_rayleigh_task_t,batch_size,L_task_test_t
152,0.1520000000000001,0.001,152,2.266819715499878,0.0022972440719604493,2.2691169595718383,45.944881439208984,0.2043619602918625,1.2051884721167854,1017.4107951742475,,6000,
153,0.1530000000000001,0.001,153,2.266615152359009,0.002297250556945801,2.2689124029159546,45.945011138916016,0.20436537265777588,1.205131455363522,1017.4759197342338,,6000,
154,0.1540000000000001,0.001,154,2.266411066055298,0.0022972564697265625,2.2687083225250246,45.94512939453125,0.20431992411613464,1.2050745612369258,1017.2976711403535,,6000,
155,0.1550000000000001,0.001,155,2.2662065029144287,0.002297262954711914,2.2685037658691405,45.94525909423828,0.2043544054031372,1.2050175238750374,1017.5175116756019,,6000,
156,0.1560000000000001,0.001,156,2.2660021781921387,0.0022972686767578124,2.2682994468688964,45.94537353515625,0.20435619354248047,1.2049605426896217,1017.5745327875984,,6000,
157,0.1570000000000001,0.001,157,2.2657978534698486,0.0022972753524780273,2.268095128822327,45.94550704956055,0.20436051487922668,1.2049035512080197,1017.6441824293952,,6000,
158,0.1580000000000001,0.001,158,2.2655935287475586,0.0022972814559936525,2.267890810203552,45.94562911987305,0.20431719720363617,1.2048465494286784,1017.4766104473,,6000,
159,0.1590000000000001,0.001,159,2.2653892040252686,0.0022972877502441405,2.2676864917755126,45.94575500488281,0.20426896214485168,1.2047895373500443,1017.2845421324533,,6000,
160,0.16000000000000011,0.001,160,2.2651848793029785,0.002297294235229492,2.267482173538208,45.945884704589844,0.20429706573486328,1.2047325149705648,1017.4726581851485,,6000,
161,0.16100000000000012,0.001,161,2.2649807929992676,0.0022973005294799806,2.2672780935287475,45.94601058959961,0.20427937805652618,1.2046755488439105,1017.4326768028125,,6000,
